scene,bmp_type,scan_mode,block_size,block_row,block_col,values_count,payload_size_bytes,block_compression_performance_percent
external_camera_512,bw_1bit,col_major,64,6,4,4096,1196,70.8
external_camera_512,bw_1bit,zigzag_64,64,6,4,4096,2538,38.04
external_camera_512,bw_1bit,row_major,64,6,5,4096,1813,55.74
external_camera_512,bw_1bit,col_major,64,6,5,4096,1677,59.06
external_camera_512,bw_1bit,zigzag_64,64,6,5,4096,2222,45.75
external_camera_512,bw_1bit,row_major,64,6,6,4096,2302,43.8
external_camera_512,bw_1bit,col_major,64,6,6,4096,2440,40.43
external_camera_512,bw_1bit,zigzag_64,64,6,6,4096,2665,34.94
external_camera_512,bw_1bit,row_major,64,6,7,4096,2406,41.26
external_camera_512,bw_1bit,col_major,64,6,7,4096,2640,35.55
external_camera_512,bw_1bit,zigzag_64,64,6,7,4096,2796,31.74
external_camera_512,bw_1bit,row_major,64,7,0,4096,4,99.9
external_camera_512,bw_1bit,col_major,64,7,0,4096,4,99.9
external_camera_512,bw_1bit,zigzag_64,64,7,0,4096,4,99.9
external_camera_512,bw_1bit,row_major,64,7,1,4096,1093,73.32
external_camera_512,bw_1bit,col_major,64,7,1,4096,815,80.1
external_camera_512,bw_1bit,zigzag_64,64,7,1,4096,1125,72.53
external_camera_512,bw_1bit,row_major,64,7,2,4096,1423,65.26
external_camera_512,bw_1bit,col_major,64,7,2,4096,1128,72.46
external_camera_512,bw_1bit,zigzag_64,64,7,2,4096,1405,65.7
external_camera_512,bw_1bit,row_major,64,7,3,4096,2176,46.88
external_camera_512,bw_1bit,col_major,64,7,3,4096,1712,58.2
external_camera_512,bw_1bit,zigzag_64,64,7,3,4096,2108,48.54
external_camera_512,bw_1bit,row_major,64,7,4,4096,2368,42.19
external_camera_512,bw_1bit,col_major,64,7,4,4096,2140,47.75
external_camera_512,bw_1bit,zigzag_64,64,7,4,4096,2628,35.84
external_camera_512,bw_1bit,row_major,64,7,5,4096,2297,43.92
external_camera_512,bw_1bit,col_major,64,7,5,4096,2244,45.21
external_camera_512,bw_1bit,zigzag_64,64,7,5,4096,2558,37.55
external_camera_512,bw_1bit,row_major,64,7,6,4096,2858,30.22
external_camera_512,bw_1bit,col_major,64,7,6,4096,2708,33.89
external_camera_512,bw_1bit,zigzag_64,64,7,6,4096,3315,19.07
external_camera_512,bw_1bit,row_major,64,7,7,4096,3244,20.8
external_camera_512,bw_1bit,col_major,64,7,7,4096,3332,18.65
external_camera_512,bw_1bit,zigzag_64,64,7,7,4096,3575,12.72
external_camera_512,gray_4bit,row_major,64,0,0,4096,675,83.52
external_camera_512,gray_4bit,col_major,64,0,0,4096,772,81.15
external_camera_512,gray_4bit,zigzag_64,64,0,0,4096,749,81.71
external_camera_512,gray_4bit,row_major,64,0,1,4096,515,87.43
external_camera_512,gray_4bit,col_major,64,0,1,4096,626,84.72
external_camera_512,gray_4bit,zigzag_64,64,0,1,4096,681,83.37
external_camera_512,gray_4bit,row_major,64,0,2,4096,346,91.55
external_camera_512,gray_4bit,col_major,64,0,2,4096,588,85.64
external_camera_512,gray_4bit,zigzag_64,64,0,2,4096,406,90.09
external_camera_512,gray_4bit,row_major,64,0,3,4096,46,98.88
external_camera_512,gray_4bit,col_major,64,0,3,4096,165,95.97
external_camera_512,gray_4bit,zigzag_64,64,0,3,4096,100,97.56
external_camera_512,gray_4bit,row_major,64,0,4,4096,12,99.71
external_camera_512,gray_4bit,col_major,64,0,4,4096,12,99.71
external_camera_512,gray_4bit,zigzag_64,64,0,4,4096,12,99.71
external_camera_512,gray_4bit,row_major,64,0,5,4096,290,92.92
external_camera_512,gray_4bit,col_major,64,0,5,4096,302,92.63
external_camera_512,gray_4bit,zigzag_64,64,0,5,4096,297,92.75
external_camera_512,gray_4bit,row_major,64,0,6,4096,831,79.71
external_camera_512,gray_4bit,col_major,64,0,6,4096,1067,73.95
external_camera_512,gray_4bit,zigzag_64,64,0,6,4096,880,78.52
external_camera_512,gray_4bit,row_major,64,0,7,4096,780,80.96
external_camera_512,gray_4bit,col_major,64,0,7,4096,1082,73.58
external_camera_512,gray_4bit,zigzag_64,64,0,7,4096,863,78.93
external_camera_512,gray_4bit,row_major,64,1,0,4096,457,88.84
external_camera_512,gray_4bit,col_major,64,1,0,4096,678,83.45
external_camera_512,gray_4bit,zigzag_64,64,1,0,4096,544,86.72
external_camera_512,gray_4bit,row_major,64,1,1,4096,700,82.91
external_camera_512,gray_4bit,col_major,64,1,1,4096,1045,74.49
external_camera_512,gray_4bit,zigzag_64,64,1,1,4096,827,79.81
external_camera_512,gray_4bit,row_major,64,1,2,4096,2882,29.64
external_camera_512,gray_4bit,col_major,64,1,2,4096,3059,25.32
external_camera_512,gray_4bit,zigzag_64,64,1,2,4096,2915,28.83
external_camera_512,gray_4bit,row_major,64,1,3,4096,3896,4.88
external_camera_512,gray_4bit,col_major,64,1,3,4096,4248,-3.71
external_camera_512,gray_4bit,zigzag_64,64,1,3,4096,4223,-3.1
external_camera_512,gray_4bit,row_major,64,1,4,4096,1720,58.01
external_camera_512,gray_4bit,col_major,64,1,4,4096,1987,51.49
external_camera_512,gray_4bit,zigzag_64,64,1,4,4096,1972,51.86
external_camera_512,gray_4bit,row_major,64,1,5,4096,830,79.74
external_camera_512,gray_4bit,col_major,64,1,5,4096,1115,72.78
external_camera_512,gray_4bit,zigzag_64,64,1,5,4096,885,78.39
external_camera_512,gray_4bit,row_major,64,1,6,4096,936,77.15
external_camera_512,gray_4bit,col_major,64,1,6,4096,1073,73.8
external_camera_512,gray_4bit,zigzag_64,64,1,6,4096,980,76.07
external_camera_512,gray_4bit,row_major,64,1,7,4096,411,89.97
external_camera_512,gray_4bit,col_major,64,1,7,4096,593,85.52
external_camera_512,gray_4bit,zigzag_64,64,1,7,4096,441,89.23
external_camera_512,gray_4bit,row_major,64,2,0,4096,1130,72.41
external_camera_512,gray_4bit,col_major,64,2,0,4096,1489,63.65
external_camera_512,gray_4bit,zigzag_64,64,2,0,4096,1341,67.26
external_camera_512,gray_4bit,row_major,64,2,1,4096,1848,54.88
external_camera_512,gray_4bit,col_major,64,2,1,4096,1906,53.47
external_camera_512,gray_4bit,zigzag_64,64,2,1,4096,1986,51.51
external_camera_512,gray_4bit,row_major,64,2,2,4096,3932,4.0
external_camera_512,gray_4bit,col_major,64,2,2,4096,3146,23.19
external_camera_512,gray_4bit,zigzag_64,64,2,2,4096,4209,-2.76
external_camera_512,gray_4bit,row_major,64,2,3,4096,4022,1.81
external_camera_512,gray_4bit,col_major,64,2,3,4096,4317,-5.4
external_camera_512,gray_4bit,zigzag_64,64,2,3,4096,4725,-15.36
external_camera_512,gray_4bit,row_major,64,2,4,4096,3319,18.97
external_camera_512,gray_4bit,col_major,64,2,4,4096,3967,3.15
external_camera_512,gray_4bit,zigzag_64,64,2,4,4096,3980,2.83
external_camera_512,gray_4bit,row_major,64,2,5,4096,1509,63.16
external_camera_512,gray_4bit,col_major,64,2,5,4096,2071,49.44
external_camera_512,gray_4bit,zigzag_64,64,2,5,4096,2033,50.37
external_camera_512,gray_4bit,row_major,64,2,6,4096,1475,63.99
external_camera_512,gray_4bit,col_major,64,2,6,4096,1070,73.88
external_camera_512,gray_4bit,zigzag_64,64,2,6,4096,1775,56.67
external_camera_512,gray_4bit,row_major,64,2,7,4096,1934,52.78
external_camera_512,gray_4bit,col_major,64,2,7,4096,2004,51.07
external_camera_512,gray_4bit,zigzag_64,64,2,7,4096,2200,46.29
external_camera_512,gray_4bit,row_major,64,3,0,4096,3076,24.9
external_camera_512,gray_4bit,col_major,64,3,0,4096,2990,27.0
external_camera_512,gray_4bit,zigzag_64,64,3,0,4096,3977,2.91
external_camera_512,gray_4bit,row_major,64,3,1,4096,1196,70.8
external_camera_512,gray_4bit,col_major,64,3,1,4096,1063,74.05
external_camera_512,gray_4bit,zigzag_64,64,3,1,4096,1739,57.54
external_camera_512,gray_4bit,row_major,64,3,2,4096,2984,27.15
external_camera_512,gray_4bit,col_major,64,3,2,4096,2705,33.96
external_camera_512,gray_4bit,zigzag_64,64,3,2,4096,3222,21.34
external_camera_512,gray_4bit,row_major,64,3,3,4096,3037,25.85
external_camera_512,gray_4bit,col_major,64,3,3,4096,3586,12.45
external_camera_512,gray_4bit,zigzag_64,64,3,3,4096,3569,12.87
external_camera_512,gray_4bit,row_major,64,3,4,4096,3588,12.4
external_camera_512,gray_4bit,col_major,64,3,4,4096,3397,17.07
external_camera_512,gray_4bit,zigzag_64,64,3,4,4096,3919,4.32
external_camera_512,gray_4bit,row_major,64,3,5,4096,3713,9.35
external_camera_512,gray_4bit,col_major,64,3,5,4096,4499,-9.84
external_camera_512,gray_4bit,zigzag_64,64,3,5,4096,4555,-11.21
external_camera_512,gray_4bit,row_major,64,3,6,4096,3441,15.99
external_camera_512,gray_4bit,col_major,64,3,6,4096,4796,-17.09
external_camera_512,gray_4bit,zigzag_64,64,3,6,4096,4986,-21.73
external_camera_512,gray_4bit,row_major,64,3,7,4096,3067,25.12
external_camera_512,gray_4bit,col_major,64,3,7,4096,4098,-0.05
external_camera_512,gray_4bit,zigzag_64,64,3,7,4096,4249,-3.74
external_camera_512,gray_4bit,row_major,64,4,0,4096,823,79.91
external_camera_512,gray_4bit,col_major,64,4,0,4096,679,83.42
external_camera_512,gray_4bit,zigzag_64,64,4,0,4096,905,77.91
external_camera_512,gray_4bit,row_major,64,4,1,4096,1111,72.88
external_camera_512,gray_4bit,col_major,64,4,1,4096,1237,69.8
external_camera_512,gray_4bit,zigzag_64,64,4,1,4096,1324,67.68
external_camera_512,gray_4bit,row_major,64,4,2,4096,1384,66.21
external_camera_512,gray_4bit,col_major,64,4,2,4096,1538,62.45
external_camera_512,gray_4bit,zigzag_64,64,4,2,4096,1614,60.6
external_camera_512,gray_4bit,row_major,64,4,3,4096,2619,36.06
external_camera_512,gray_4bit,col_major,64,4,3,4096,2251,45.04
external_camera_512,gray_4bit,zigzag_64,64,4,3,4096,2617,36.11
external_camera_512,gray_4bit,row_major,64,4,4,4096,3573,12.77
external_camera_512,gray_4bit,col_major,64,4,4,4096,3321,18.92
external_camera_512,gray_4bit,zigzag_64,64,4,4,4096,3758,8.25
external_camera_512,gray_4bit,row_major,64,4,5,4096,4074,0.54
external_camera_512,gray_4bit,col_major,64,4,5,4096,4601,-12.33
external_camera_512,gray_4bit,zigzag_64,64,4,5,4096,4811,-17.46
external_camera_512,gray_4bit,row_major,64,4,6,4096,3912,4.49
external_camera_512,gray_4bit,col_major,64,4,6,4096,4509,-10.08
external_camera_512,gray_4bit,zigzag_64,64,4,6,4096,4756,-16.11
external_camera_512,gray_4bit,row_major,64,4,7,4096,3709,9.45
external_camera_512,gray_4bit,col_major,64,4,7,4096,4548,-11.04
external_camera_512,gray_4bit,zigzag_64,64,4,7,4096,4557,-11.25
external_camera_512,gray_4bit,row_major,64,5,0,4096,827,79.81
external_camera_512,gray_4bit,col_major,64,5,0,4096,837,79.57
external_camera_512,gray_4bit,zigzag_64,64,5,0,4096,881,78.49
external_camera_512,gray_4bit,row_major,64,5,1,4096,387,90.55
external_camera_512,gray_4bit,col_major,64,5,1,4096,625,84.74
external_camera_512,gray_4bit,zigzag_64,64,5,1,4096,481,88.26
external_camera_512,gray_4bit,row_major,64,5,2,4096,3084,24.71
external_camera_512,gray_4bit,col_major,64,5,2,4096,3158,22.9
external_camera_512,gray_4bit,zigzag_64,64,5,2,4096,2844,30.57
external_camera_512,gray_4bit,row_major,64,5,3,4096,5053,-23.36
external_camera_512,gray_4bit,col_major,64,5,3,4096,5247,-28.1
external_camera_512,gray_4bit,zigzag_64,64,5,3,4096,5143,-25.56
external_camera_512,gray_4bit,row_major,64,5,4,4096,4748,-15.92
external_camera_512,gray_4bit,col_major,64,5,4,4096,4829,-17.9
external_camera_512,gray_4bit,zigzag_64,64,5,4,4096,4852,-18.46
external_camera_512,gray_4bit,row_major,64,5,5,4096,5097,-24.44
external_camera_512,gray_4bit,col_major,64,5,5,4096,5078,-23.97
external_camera_512,gray_4bit,zigzag_64,64,5,5,4096,5022,-22.61
external_camera_512,gray_4bit,row_major,64,5,6,4096,5039,-23.02
external_camera_512,gray_4bit,col_major,64,5,6,4096,5110,-24.76
external_camera_512,gray_4bit,zigzag_64,64,5,6,4096,4979,-21.56
external_camera_512,gray_4bit,row_major,64,5,7,4096,4887,-19.31
external_camera_512,gray_4bit,col_major,64,5,7,4096,5052,-23.34
external_camera_512,gray_4bit,zigzag_64,64,5,7,4096,5127,-25.17
external_camera_512,gray_4bit,row_major,64,6,0,4096,261,93.63
external_camera_512,gray_4bit,col_major,64,6,0,4096,251,93.87
external_camera_512,gray_4bit,zigzag_64,64,6,0,4096,277,93.24
external_camera_512,gray_4bit,row_major,64,6,1,4096,2019,50.71
external_camera_512,gray_4bit,col_major,64,6,1,4096,2019,50.71
external_camera_512,gray_4bit,zigzag_64,64,6,1,4096,2193,46.46
external_camera_512,gray_4bit,row_major,64,6,2,4096,4738,-15.67
external_camera_512,gray_4bit,col_major,64,6,2,4096,4456,-8.79
external_camera_512,gray_4bit,zigzag_64,64,6,2,4096,4666,-13.92
external_camera_512,gray_4bit,row_major,64,6,3,4096,5020,-22.56
external_camera_512,gray_4bit,col_major,64,6,3,4096,5106,-24.66
external_camera_512,gray_4bit,zigzag_64,64,6,3,4096,4924,-20.21
external_camera_512,gray_4bit,row_major,64,6,4,4096,4780,-16.7
external_camera_512,gray_4bit,col_major,64,6,4,4096,4117,-0.51
external_camera_512,gray_4bit,zigzag_64,64,6,4,4096,4769,-16.43
external_camera_512,gray_4bit,row_major,64,6,5,4096,4964,-21.19
external_camera_512,gray_4bit,col_major,64,6,5,4096,5056,-23.44
external_camera_512,gray_4bit,zigzag_64,64,6,5,4096,4886,-19.29
external_camera_512,gray_4bit,row_major,64,6,6,4096,5043,-23.12
external_camera_512,gray_4bit,col_major,64,6,6,4096,5092,-24.32
external_camera_512,gray_4bit,zigzag_64,64,6,6,4096,4971,-21.36
external_camera_512,gray_4bit,row_major,64,6,7,4096,5022,-22.61
external_camera_512,gray_4bit,col_major,64,6,7,4096,5116,-24.9
external_camera_512,gray_4bit,zigzag_64,64,6,7,4096,5046,-23.19
external_camera_512,gray_4bit,row_major,64,7,0,4096,52,98.73
external_camera_512,gray_4bit,col_major,64,7,0,4096,45,98.9
external_camera_512,gray_4bit,zigzag_64,64,7,0,4096,52,98.73
external_camera_512,gray_4bit,row_major,64,7,1,4096,3077,24.88
external_camera_512,gray_4bit,col_major,64,7,1,4096,2370,42.14
external_camera_512,gray_4bit,zigzag_64,64,7,1,4096,3055,25.42
external_camera_512,gray_4bit,row_major,64,7,2,4096,4373,-6.76
external_camera_512,gray_4bit,col_major,64,7,2,4096,3961,3.3
external_camera_512,gray_4bit,zigzag_64,64,7,2,4096,4519,-10.33
external_camera_512,gray_4bit,row_major,64,7,3,4096,4822,-17.72
external_camera_512,gray_4bit,col_major,64,7,3,4096,4809,-17.41
external_camera_512,gray_4bit,zigzag_64,64,7,3,4096,4824,-17.77
external_camera_512,gray_4bit,row_major,64,7,4,4096,4713,-15.06
external_camera_512,gray_4bit,col_major,64,7,4,4096,4675,-14.14
external_camera_512,gray_4bit,zigzag_64,64,7,4,4096,4776,-16.6
external_camera_512,gray_4bit,row_major,64,7,5,4096,4644,-13.38
external_camera_512,gray_4bit,col_major,64,7,5,4096,4897,-19.56
external_camera_512,gray_4bit,zigzag_64,64,7,5,4096,4716,-15.14
external_camera_512,gray_4bit,row_major,64,7,6,4096,4879,-19.12
external_camera_512,gray_4bit,col_major,64,7,6,4096,4960,-21.09
external_camera_512,gray_4bit,zigzag_64,64,7,6,4096,4781,-16.72
external_camera_512,gray_4bit,row_major,64,7,7,4096,4998,-22.02
external_camera_512,gray_4bit,col_major,64,7,7,4096,4902,-19.68
external_camera_512,gray_4bit,zigzag_64,64,7,7,4096,4901,-19.65
external_camera_512,palette_8bit,row_major,64,0,0,4096,4878,-19.09
external_camera_512,palette_8bit,col_major,64,0,0,4096,4980,-21.58
external_camera_512,palette_8bit,zigzag_64,64,0,0,4096,5050,-23.29
external_camera_512,palette_8bit,row_major,64,0,1,4096,4787,-16.87
external_camera_512,palette_8bit,col_major,64,0,1,4096,5100,-24.51
external_camera_512,palette_8bit,zigzag_64,64,0,1,4096,5114,-24.85
external_camera_512,palette_8bit,row_major,64,0,2,4096,4871,-18.92
external_camera_512,palette_8bit,col_major,64,0,2,4096,5041,-23.07
external_camera_512,palette_8bit,zigzag_64,64,0,2,4096,5112,-24.8
external_camera_512,palette_8bit,row_major,64,0,3,4096,4793,-17.02
external_camera_512,palette_8bit,col_major,64,0,3,4096,5006,-22.22
external_camera_512,palette_8bit,zigzag_64,64,0,3,4096,5110,-24.76
external_camera_512,palette_8bit,row_major,64,0,4,4096,4898,-19.58
external_camera_512,palette_8bit,col_major,64,0,4,4096,5074,-23.88
